title,author,is_loaned,copies,genre,year,loaned_count,waiting_list,copies_available,popularity_count
The Catcher in the Rye,J.D. Salinger,False,3,Fiction,1951,0,,3,0
To Kill a Mockingbird,Harper Lee,True,2,Fiction,1960,2,,0,2
1984,George Orwell,True,5,Dystopian,1949,5,,0,5
The Great Gatsby,F. Scott Fitzgerald,False,4,Classic,1925,0,,4,0
Moby Dick,Herman Melville,False,1,Adventure,1851,0,,1,0
Pride and Prejudice,Jane Austen,True,3,Romance,1813,3,,0,3
War and Peace,Leo Tolstoy,False,2,Historical Fiction,1869,0,,2,0
Great Expectations,Charles Dickens,False,3,Classic,1861,0,,3,0
Crime and Punishment,Fyodor Dostoevsky,True,1,Psychological Drama,1866,1,,0,1
The Brothers Karamazov,Fyodor Dostoevsky,False,3,Philosophy,1880,0,,3,0
The Divine Comedy,Dante Alighieri,True,1,Epic Poetry,1320,1,,0,1
Jane Eyre,Charlotte Brontë,False,2,Gothic Fiction,1847,0,,2,0
Wuthering Heights,Emily Brontë,False,4,Gothic Romance,1847,0,,4,0
Anna Karenina,Leo Tolstoy,True,2,Fiction,1877,2,,0,2
Madame Bovary,Gustave Flaubert,False,3,Realism,1857,0,,3,0
The Iliad,Homer,True,1,Epic Poetry,-750,1,,0,1
The Sound and the Fury,William Faulkner,False,2,Modernism,1929,0,,2,0
Invisible Man,Ralph Ellison,True,1,Fiction,1952,1,,0,1
Beloved,Toni Morrison,True,3,Historical Fiction,1987,3,,0,3
Catch-22,Joseph Heller,False,4,Satire,1961,0,,4,0
Slaughterhouse-Five,Kurt Vonnegut,True,2,Science Fiction,1969,2,,0,2
Brave New World,Aldous Huxley,False,5,Dystopian,1932,0,,5,0
Heart of Darkness,Joseph Conrad,True,3,Adventure,1899,3,,0,3
The Grapes of Wrath,John Steinbeck,False,2,Fiction,1939,0,,2,0
Of Mice and Men,John Steinbeck,True,1,Tragedy,1937,1,,0,1
The Old Man and the Sea,Ernest Hemingway,False,3,Fiction,1952,0,,3,0
The Hobbit,J.R.R. Tolkien,True,4,Fantasy,1937,4,,0,4
The Lord of the Rings,J.R.R. Tolkien,True,2,Fantasy,1954,2,,0,2
Harry Potter and the Philosopher's Stone,J.K. Rowling,False,7,Fantasy,1997,0,,7,0
A Game of Thrones,George R.R. Martin,True,5,Fantasy,1996,5,,0,5
The Name of the Wind,Patrick Rothfuss,False,3,Fantasy,2007,0,,3,0
Mistborn: The Final Empire,Brandon Sanderson,True,4,Fantasy,2006,4,,0,4
The Handmaid's Tale,Margaret Atwood,False,3,Dystopian,1985,0,,3,0
The Odyssey,Homer,True,2,Epic Poetry,-800,2,,0,2
